protocol,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,dst2src_packets,src2dst_bytes,dst2src_bytes,bidirectional_mean_ps,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets,bytes_asymmetry_ratio,packets_asymmetry_ratio,bidirectional_packets_per_ms,bytes_per_packet,syn_ack_ratio_nfstream,manual_packet_count,iat_mean_ms,iat_std_ms,iat_cv,rtt_estimate_ms,tcp_window_min,tcp_window_max,tcp_window_mean,tcp_window_var,syn_ack_ratio_manual,duration_zero_flag,syn_ack_ratio_nfstream_missing,iat_mean_ms_missing,iat_std_ms_missing,iat_cv_missing,rtt_estimate_ms_missing,tcp_window_min_missing,tcp_window_max_missing,tcp_window_mean_missing,tcp_window_var_missing,syn_ack_ratio_manual_missing,label
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.4,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0138282775878906,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,88,1,0,88,0,81.5,0,0,0,0,0,43.0,2.0,1.0,81.5,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
17,1,2,154,1,0,112,0,81.5,0,0,0,0,0,43.0,2.0,2.0,81.5,1.0,2,0.0283122062683105,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,1,0,0,0,1,1,1,1,1,1,port_sweep
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0109672546386718,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0257574278732826,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,1,2,154,1,0,112,0,81.5,0,0,0,0,0,43.0,2.0,2.0,81.5,1.0,2,0.04954423223223,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,1,0,0,0,1,1,1,1,1,1,port_sweep
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0200271606445312,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,1,2,154,1,1,112,54,80.76190476190477,1,1,0,0,0,1.0727272727272728,1.0,1.0,80.76190476190476,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,0,2,154,1,1,112,54,56.66666666666666,1,1,1,0,0,1.915254237288136,1.5,2.0,56.66666666666666,1.0,2,0.0460147857666015,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
17,0,2,154,1,1,96,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0368952751159668,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,1.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,2,154,1,1,96,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
17,0,2,154,1,1,99,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0090599060058593,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0119209289550781,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,0,2,154,1,1,112,54,81.5,1,1,0,0,0,1.1224105461393596,1.4,2.0,81.5,1.0,2,0.0810888078477647,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,0,0,0,0,0,0,normal
6,1,2,154,1,1,112,54,80.34883720930232,1,1,0,0,0,1.0727272727272728,1.0,1.0,80.34883720930233,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0169277191162109,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0181198120117187,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,0,2,154,1,1,112,54,81.5,1,1,0,0,0,1.1224105461393596,1.4,2.0,81.5,1.0,2,0.0704394446478949,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0259876251220703,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,2,154,1,1,96,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.020408163265306,2.0,81.5,1.0,2,0.0291243195533752,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0848770141601562,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
17,0,1,88,1,0,88,0,81.5,0,0,0,0,0,43.0,2.0,1.0,81.5,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
17,0,2,154,1,1,98,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0169277191162109,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,2,154,1,1,96,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.1224105461393596,1.4,2.0,81.5,1.0,2,0.0733269585503472,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0769230769230769,2.0,81.5,1.0,2,0.049750010172526,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0078678131103515,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.4,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.4,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0069141387939453,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0178813934326171,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0181198120117187,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.4,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0131130218505859,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0528252643087635,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0159740447998046,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0340215275796611,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0109672546386718,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0169277191162109,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0482522524320162,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0769230769230769,2.0,81.5,1.0,2,0.0523726145426432,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0071525573730468,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0090599060058593,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.3333333333333333,1.3333333333333333,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0119209289550781,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.1224105461393596,1.4,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
6,1,2,154,1,1,112,54,81.5,1,1,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.0742912292480468,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,0,0,0,0,0,0,0,0,0,0,0,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,port_sweep
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0131130218505859,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,88,1,0,88,0,81.5,0,0,0,0,0,43.0,2.0,1.0,81.5,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0100135803222656,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
6,0,2,112,1,1,58,54,56.0,1,1,1,0,0,1.0727272727272728,1.0,2.0,56.0,1.0,2,0.0171661376953125,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,0,0,0,0,1,0,0,0,0,0,syn_scan
17,0,2,154,1,1,98,54,81.5,0,0,0,0,0,1.0727272727272728,1.0,2.0,81.5,1.0,2,0.08767975701226247,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,0,0,0,1,1,1,1,1,1,normal
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,42,1,0,42,0,42.0,0,0,0,0,0,43.0,2.0,1.0,42.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,udp_scan
17,0,1,66,1,0,66,0,66.0,0,0,0,0,0,43.0,2.0,1.0,66.0,1.0,1,0.0128746032714843,0.0,0.0,0.0269412994384765,0.0,1024.0,512.0,262144.0,1.0,1,1,1,1,1,1,1,1,1,1,1,icmp_flood
